fecha,escenario,variable,valor,unidad,fuente,modulo_origen,fecha_generacion
2026-12-01,baseline_var,crecimiento,3.5854317612348243,porcentaje,VAR multivariado,M3,2026-05-05
2026-12-01,baseline_var,inflacion,4.287959727337151,porcentaje,VAR multivariado,M3,2026-05-05
2026-12-01,baseline_var,interbancaria,8.18477528912676,porcentaje,VAR multivariado,M3,2026-05-05
2026-12-01,baseline_var,deprec_fx,4.038798125220872,porcentaje,VAR multivariado,M3,2026-05-05
2026-12-01,baseline_var,embi,4.110666731018377,puntos_base,VAR multivariado,M3,2026-05-05
2027-01-01,baseline_var,crecimiento,3.587543655463128,porcentaje,VAR multivariado,M3,2026-05-05
2027-01-01,baseline_var,inflacion,4.223175598399754,porcentaje,VAR multivariado,M3,2026-05-05
2027-01-01,baseline_var,interbancaria,8.131471011283155,porcentaje,VAR multivariado,M3,2026-05-05
2027-01-01,baseline_var,deprec_fx,4.042116645323746,porcentaje,VAR multivariado,M3,2026-05-05
2027-01-01,baseline_var,embi,4.126691323353941,puntos_base,VAR multivariado,M3,2026-05-05
2027-02-01,baseline_var,crecimiento,3.604504628391455,porcentaje,VAR multivariado,M3,2026-05-05
2027-02-01,baseline_var,inflacion,4.168420596625909,porcentaje,VAR multivariado,M3,2026-05-05
2027-02-01,baseline_var,interbancaria,8.0714053719557,porcentaje,VAR multivariado,M3,2026-05-05
2027-02-01,baseline_var,deprec_fx,4.044642923861608,porcentaje,VAR multivariado,M3,2026-05-05
2027-02-01,baseline_var,embi,4.12994547182842,puntos_base,VAR multivariado,M3,2026-05-05
2027-03-01,baseline_var,crecimiento,3.633347327194464,porcentaje,VAR multivariado,M3,2026-05-05
2027-03-01,baseline_var,inflacion,4.123357567926147,porcentaje,VAR multivariado,M3,2026-05-05
2027-03-01,baseline_var,interbancaria,8.007520573867147,porcentaje,VAR multivariado,M3,2026-05-05
2027-03-01,baseline_var,deprec_fx,4.0455841950902505,porcentaje,VAR multivariado,M3,2026-05-05
2027-03-01,baseline_var,embi,4.123454927441604,puntos_base,VAR multivariado,M3,2026-05-05
2027-04-01,baseline_var,crecimiento,3.6712764001926725,porcentaje,VAR multivariado,M3,2026-05-05
2027-04-01,baseline_var,inflacion,4.087407295985415,porcentaje,VAR multivariado,M3,2026-05-05
2027-04-01,baseline_var,interbancaria,7.9422299216435075,porcentaje,VAR multivariado,M3,2026-05-05
2027-04-01,baseline_var,deprec_fx,4.044345670506615,porcentaje,VAR multivariado,M3,2026-05-05
2027-04-01,baseline_var,embi,4.109814717098598,puntos_base,VAR multivariado,M3,2026-05-05
2027-05-01,baseline_var,crecimiento,3.7157544018197526,porcentaje,VAR multivariado,M3,2026-05-05
2027-05-01,baseline_var,inflacion,4.0598393912323365,porcentaje,VAR multivariado,M3,2026-05-05
2027-05-01,baseline_var,interbancaria,7.877464560156344,porcentaje,VAR multivariado,M3,2026-05-05
2027-05-01,baseline_var,deprec_fx,4.040548276581432,porcentaje,VAR multivariado,M3,2026-05-05
2027-05-01,baseline_var,embi,4.0912076519959655,puntos_base,VAR multivariado,M3,2026-05-05
2027-06-01,baseline_var,crecimiento,3.764545739841382,porcentaje,VAR multivariado,M3,2026-05-05
2027-06-01,baseline_var,inflacion,4.039839635510564,porcentaje,VAR multivariado,M3,2026-05-05
2027-06-01,baseline_var,interbancaria,7.814726287287997,porcentaje,VAR multivariado,M3,2026-05-05
2027-06-01,baseline_var,deprec_fx,4.034016609799195,porcentaje,VAR multivariado,M3,2026-05-05
2027-06-01,baseline_var,embi,4.06943600112607,puntos_base,VAR multivariado,M3,2026-05-05
2027-07-01,baseline_var,crecimiento,3.815731516049017,porcentaje,VAR multivariado,M3,2026-05-05
2027-07-01,baseline_var,inflacion,4.02655906413764,porcentaje,VAR multivariado,M3,2026-05-05
2027-07-01,baseline_var,interbancaria,7.75514222209475,porcentaje,VAR multivariado,M3,2026-05-05
2027-07-01,baseline_var,deprec_fx,4.024750995409338,porcentaje,VAR multivariado,M3,2026-05-05
2027-07-01,baseline_var,embi,4.0459599899767085,puntos_base,VAR multivariado,M3,2026-05-05
2027-08-01,baseline_var,crecimiento,3.8677048805522047,porcentaje,VAR multivariado,M3,2026-05-05
2027-08-01,baseline_var,inflacion,4.019149131494666,porcentaje,VAR multivariado,M3,2026-05-05
2027-08-01,baseline_var,interbancaria,7.6995183616501635,porcentaje,VAR multivariado,M3,2026-05-05
2027-08-01,baseline_var,deprec_fx,4.012892773137378,porcentaje,VAR multivariado,M3,2026-05-05
2027-08-01,baseline_var,embi,4.021938743716328,puntos_base,VAR multivariado,M3,2026-05-05
