"","instrumento","fund","rate","year","month","file"
"143","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","FONDO_DE_SOLIDARIDAD_SOCIAL",0,2024,"Enero","tasas_2024_66.xlsx"
"144","Valores representativos de capital emitidos por Fideicomisos de oferta pública5","TOTAL_SISTEMA",0.001409,2024,"Enero","tasas_2024_66.xlsx"
"145","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","ATLÁNTICO",0.0012,2024,"Enero","tasas_2024_66.xlsx"
"146","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","CRECER",0.000957,2024,"Enero","tasas_2024_66.xlsx"
"147","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","JMMB_BDI",0.000925,2024,"Enero","tasas_2024_66.xlsx"
"148","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","POPULAR",0.00083,2024,"Enero","tasas_2024_66.xlsx"
"149","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","RESERVAS",0.001118,2024,"Enero","tasas_2024_66.xlsx"
"150","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","ROMANA",0,2024,"Enero","tasas_2024_66.xlsx"
"151","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","SIEMBRA",0.00114,2024,"Enero","tasas_2024_66.xlsx"
"152","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","TOTAL_CCI",0.000983192564668495,2024,"Enero","tasas_2024_66.xlsx"
"153","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","RESERVAS-R3",0.000505,2024,"Enero","tasas_2024_66.xlsx"
"154","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","BANCO_CENTRAL-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"155","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000505,2024,"Enero","tasas_2024_66.xlsx"
"156","Valores representativos de deuda emitidos por Fideicomisos de oferta pública","TOTAL_SISTEMA",0.000979862978496784,2024,"Enero","tasas_2024_66.xlsx"
"157","Acciones de oferta pública 7","ATLÁNTICO",0.000444,2024,"Febrero","tasas_2024_66.xlsx"
"158","Acciones de oferta pública 7","CRECER",0.000424,2024,"Febrero","tasas_2024_66.xlsx"
"159","Acciones de oferta pública 7","JMMB_BDI",0.000444,2024,"Febrero","tasas_2024_66.xlsx"
"160","Acciones de oferta pública 7","POPULAR",0,2024,"Febrero","tasas_2024_66.xlsx"
"161","Acciones de oferta pública 7","RESERVAS",0.000444,2024,"Febrero","tasas_2024_66.xlsx"
"162","Acciones de oferta pública 7","ROMANA",0,2024,"Febrero","tasas_2024_66.xlsx"
"163","Acciones de oferta pública 7","SIEMBRA",0.000444,2024,"Febrero","tasas_2024_66.xlsx"
"164","Acciones de oferta pública 7","TOTAL_CCI",0.000437252735921063,2024,"Febrero","tasas_2024_66.xlsx"
"165","Acciones de oferta pública 7","RESERVAS-R3",0,2024,"Febrero","tasas_2024_66.xlsx"
"166","Acciones de oferta pública 7","BANCO_CENTRAL-R3",0.000444,2024,"Febrero","tasas_2024_66.xlsx"
"167","Acciones de oferta pública 7","FONDO_DE_SOLIDARIDAD_SOCIAL",0,2024,"Febrero","tasas_2024_66.xlsx"
"168","Acciones de oferta pública 7","TOTAL_SISTEMA",0.000437252784894005,2024,"Febrero","tasas_2024_66.xlsx"
"169","Bonos Ministerio de Hacienda","ATLÁNTICO",0.00054,2024,"Febrero","tasas_2024_66.xlsx"
"170","Bonos Ministerio de Hacienda","CRECER",0.000766,2024,"Febrero","tasas_2024_66.xlsx"
"171","Bonos Ministerio de Hacienda","JMMB_BDI",0.000679,2024,"Febrero","tasas_2024_66.xlsx"
"172","Bonos Ministerio de Hacienda","POPULAR",0.000744,2024,"Febrero","tasas_2024_66.xlsx"
"173","Bonos Ministerio de Hacienda","RESERVAS",0.000753,2024,"Febrero","tasas_2024_66.xlsx"
"174","Bonos Ministerio de Hacienda","ROMANA",0.000707,2024,"Febrero","tasas_2024_66.xlsx"
"175","Bonos Ministerio de Hacienda","SIEMBRA",0.000711,2024,"Febrero","tasas_2024_66.xlsx"
"176","Bonos Ministerio de Hacienda","TOTAL_CCI",0.000739725432763249,2024,"Febrero","tasas_2024_66.xlsx"
"177","Bonos Ministerio de Hacienda","RESERVAS-R3",0.000697,2024,"Febrero","tasas_2024_66.xlsx"
"178","Bonos Ministerio de Hacienda","BANCO_CENTRAL-R3",0.00069,2024,"Febrero","tasas_2024_66.xlsx"
"179","Bonos Ministerio de Hacienda","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000762,2024,"Febrero","tasas_2024_66.xlsx"
"180","Bonos Ministerio de Hacienda","TOTAL_SISTEMA",0.000739384070512398,2024,"Febrero","tasas_2024_66.xlsx"
"181","Bonos EIF 1","ATLÁNTICO",0.001041,2024,"Febrero","tasas_2024_66.xlsx"
"182","Bonos EIF 1","CRECER",0.001013,2024,"Febrero","tasas_2024_66.xlsx"
"183","Bonos EIF 1","JMMB_BDI",0.000991,2024,"Febrero","tasas_2024_66.xlsx"
"184","Bonos EIF 1","POPULAR",0.001034,2024,"Febrero","tasas_2024_66.xlsx"
"185","Bonos EIF 1","RESERVAS",0.001016,2024,"Febrero","tasas_2024_66.xlsx"
"186","Bonos EIF 1","ROMANA",0.001,2024,"Febrero","tasas_2024_66.xlsx"
"187","Bonos EIF 1","SIEMBRA",0.001041,2024,"Febrero","tasas_2024_66.xlsx"
"188","Bonos EIF 1","TOTAL_CCI",0.00102942568466458,2024,"Febrero","tasas_2024_66.xlsx"
"189","Bonos EIF 1","RESERVAS-R3",0.001078,2024,"Febrero","tasas_2024_66.xlsx"
"190","Bonos EIF 1","BANCO_CENTRAL-R3",0.000953,2024,"Febrero","tasas_2024_66.xlsx"
"191","Bonos EIF 1","FONDO_DE_SOLIDARIDAD_SOCIAL",0.001028,2024,"Febrero","tasas_2024_66.xlsx"
"192","Bonos EIF 1","TOTAL_SISTEMA",0.00102967195393345,2024,"Febrero","tasas_2024_66.xlsx"
"193","Bonos Empresas","ATLÁNTICO",0.001005,2024,"Febrero","tasas_2024_66.xlsx"
"194","Bonos Empresas","CRECER",0.000954,2024,"Febrero","tasas_2024_66.xlsx"
"195","Bonos Empresas","JMMB_BDI",0.001071,2024,"Febrero","tasas_2024_66.xlsx"
"196","Bonos Empresas","POPULAR",0.000885,2024,"Febrero","tasas_2024_66.xlsx"
"197","Bonos Empresas","RESERVAS",0.000826,2024,"Febrero","tasas_2024_66.xlsx"
"198","Bonos Empresas","ROMANA",0,2024,"Febrero","tasas_2024_66.xlsx"
"199","Bonos Empresas","SIEMBRA",0.000587,2024,"Febrero","tasas_2024_66.xlsx"
"200","Bonos Empresas","TOTAL_CCI",0.000856963032730745,2024,"Febrero","tasas_2024_66.xlsx"
"201","Bonos Empresas","RESERVAS-R3",0.000746,2024,"Febrero","tasas_2024_66.xlsx"
"202","Bonos Empresas","BANCO_CENTRAL-R3",0.000894,2024,"Febrero","tasas_2024_66.xlsx"
"203","Bonos Empresas","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000667,2024,"Febrero","tasas_2024_66.xlsx"
"204","Bonos Empresas","TOTAL_SISTEMA",0.000848467245145366,2024,"Febrero","tasas_2024_66.xlsx"
"205","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","ATLÁNTICO",0,2024,"Febrero","tasas_2024_66.xlsx"
"206","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","CRECER",0.000857,2024,"Febrero","tasas_2024_66.xlsx"
"207","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","JMMB_BDI",0,2024,"Febrero","tasas_2024_66.xlsx"
"208","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","POPULAR",0.000873,2024,"Febrero","tasas_2024_66.xlsx"
"209","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","RESERVAS",0.001028,2024,"Febrero","tasas_2024_66.xlsx"
"210","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","ROMANA",0,2024,"Febrero","tasas_2024_66.xlsx"
"211","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","SIEMBRA",0,2024,"Febrero","tasas_2024_66.xlsx"
"212","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","TOTAL_CCI",0.000890898407274645,2024,"Febrero","tasas_2024_66.xlsx"
"213","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","RESERVAS-R3",0,2024,"Febrero","tasas_2024_66.xlsx"
"214","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","BANCO_CENTRAL-R3",0,2024,"Febrero","tasas_2024_66.xlsx"
"215","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","FONDO_DE_SOLIDARIDAD_SOCIAL",0,2024,"Febrero","tasas_2024_66.xlsx"
"216","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","TOTAL_SISTEMA",0.000890898407274645,2024,"Febrero","tasas_2024_66.xlsx"
"217","Certificados de Depósito EIF1","ATLÁNTICO",0.000923,2024,"Febrero","tasas_2024_66.xlsx"
"218","Certificados de Depósito EIF1","CRECER",0.000829,2024,"Febrero","tasas_2024_66.xlsx"
"219","Certificados de Depósito EIF1","JMMB_BDI",0.001137,2024,"Febrero","tasas_2024_66.xlsx"
"220","Certificados de Depósito EIF1","POPULAR",0.001001,2024,"Febrero","tasas_2024_66.xlsx"
"221","Certificados de Depósito EIF1","RESERVAS",0.000647,2024,"Febrero","tasas_2024_66.xlsx"
"222","Certificados de Depósito EIF1","ROMANA",0.001118,2024,"Febrero","tasas_2024_66.xlsx"
"223","Certificados de Depósito EIF1","SIEMBRA",0.000844,2024,"Febrero","tasas_2024_66.xlsx"
"224","Certificados de Depósito EIF1","TOTAL_CCI",0.000917137497586869,2024,"Febrero","tasas_2024_66.xlsx"
"225","Certificados de Depósito EIF1","RESERVAS-R3",0.000836,2024,"Febrero","tasas_2024_66.xlsx"
"226","Certificados de Depósito EIF1","BANCO_CENTRAL-R3",0.000992,2024,"Febrero","tasas_2024_66.xlsx"
"227","Certificados de Depósito EIF1","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000725,2024,"Febrero","tasas_2024_66.xlsx"
"228","Certificados de Depósito EIF1","TOTAL_SISTEMA",0.000896264754500496,2024,"Febrero","tasas_2024_66.xlsx"
"229","Certificados Inversión Especial BCRD2","ATLÁNTICO",0.000758,2024,"Febrero","tasas_2024_66.xlsx"
"230","Certificados Inversión Especial BCRD2","CRECER",0,2024,"Febrero","tasas_2024_66.xlsx"
"231","Certificados Inversión Especial BCRD2","JMMB_BDI",0.000558,2024,"Febrero","tasas_2024_66.xlsx"
"232","Certificados Inversión Especial BCRD2","POPULAR",0.00105,2024,"Febrero","tasas_2024_66.xlsx"
"233","Certificados Inversión Especial BCRD2","RESERVAS",0,2024,"Febrero","tasas_2024_66.xlsx"
"234","Certificados Inversión Especial BCRD2","ROMANA",0.000756,2024,"Febrero","tasas_2024_66.xlsx"
"235","Certificados Inversión Especial BCRD2","SIEMBRA",0,2024,"Febrero","tasas_2024_66.xlsx"
"236","Certificados Inversión Especial BCRD2","TOTAL_CCI",0.000818611901462787,2024,"Febrero","tasas_2024_66.xlsx"
"237","Certificados Inversión Especial BCRD2","RESERVAS-R3",0,2024,"Febrero","tasas_2024_66.xlsx"
