instrumento,fund,rate,mes,year
Certificados Inversión Especial BCRD2,ATLÁNTICO,10.299999999999999,9,2017
Certificados Inversión Especial BCRD2,JMMB_BDI,10.32,9,2017
Certificados Inversión Especial BCRD2,POPULAR,9.55,9,2017
Certificados Inversión Especial BCRD2,RESERVAS,10.05,9,2017
Certificados Inversión Especial BCRD2,ROMANA,9.78,9,2017
Certificados Inversión Especial BCRD2,SCOTIA_CRECER,9.76,9,2017
Certificados Inversión Especial BCRD2,SIEMBRA,10.280000000000001,9,2017
Certificados Inversión Especial BCRD2,RESERVAS-R3,9.959999999999999,9,2017
Certificados Inversión Especial BCRD2,BANCO_CENTRAL-R3,10.100000000000001,9,2017
Certificados Inversión Especial BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.22,9,2017
Letras BCRD2,ATLÁNTICO,NA,9,2017
Letras BCRD2,JMMB_BDI,NA,9,2017
Letras BCRD2,POPULAR,7.630000000000001,9,2017
Letras BCRD2,RESERVAS,NA,9,2017
Letras BCRD2,ROMANA,NA,9,2017
Letras BCRD2,SCOTIA_CRECER,NA,9,2017
Letras BCRD2,SIEMBRA,NA,9,2017
Letras BCRD2,RESERVAS-R3,NA,9,2017
Letras BCRD2,BANCO_CENTRAL-R3,NA,9,2017
Letras BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,NA,9,2017
Notas BCRD2,ATLÁNTICO,10.36,9,2017
Notas BCRD2,JMMB_BDI,10.25,9,2017
Notas BCRD2,POPULAR,10.18,9,2017
Notas BCRD2,RESERVAS,10.190000000000001,9,2017
Notas BCRD2,ROMANA,10.12,9,2017
Notas BCRD2,SCOTIA_CRECER,10.09,9,2017
Notas BCRD2,SIEMBRA,10.27,9,2017
Notas BCRD2,RESERVAS-R3,10.18,9,2017
Notas BCRD2,BANCO_CENTRAL-R3,10.16,9,2017
Notas BCRD2,FONDO_DE_SOLIDARIDAD_SOCIAL,10.13,9,2017
Bonos Ministerio de Hacienda,ATLÁNTICO,10.65,8,2017
Bonos Ministerio de Hacienda,POPULAR,9.55,8,2017
Bonos Ministerio de Hacienda,RESERVAS,9.84,8,2017
Bonos Ministerio de Hacienda,ROMANA,10.639999999999999,8,2017
Bonos Ministerio de Hacienda,SCOTIA_CRECER,9.85,8,2017
Bonos Ministerio de Hacienda,SIEMBRA,9,8,2017
Bonos Ministerio de Hacienda,RESERVAS-R3,10.37,8,2017
Bonos Ministerio de Hacienda,BANCO_CENTRAL-R3,9.85,8,2017
Bonos Ministerio de Hacienda,FONDO_DE_SOLIDARIDAD_SOCIAL,9.64,8,2017
Bonos EIF 1,ATLÁNTICO,10.440000000000001,8,2017
Bonos EIF 1,POPULAR,9.93,8,2017
Bonos EIF 1,RESERVAS,9.74,8,2017
Bonos EIF 1,ROMANA,NA,8,2017
Bonos EIF 1,SCOTIA_CRECER,10.12,8,2017
Bonos EIF 1,SIEMBRA,9.89,8,2017
Bonos EIF 1,RESERVAS-R3,9.8,8,2017
Bonos EIF 1,BANCO_CENTRAL-R3,NA,8,2017
Bonos EIF 1,FONDO_DE_SOLIDARIDAD_SOCIAL,10.15,8,2017
Certificados de Depósito EIF1,ATLÁNTICO,8.98,8,2017
Certificados de Depósito EIF1,POPULAR,8.12,8,2017
Certificados de Depósito EIF1,RESERVAS,6.550000000000001,8,2017
Certificados de Depósito EIF1,ROMANA,9.68,8,2017
Certificados de Depósito EIF1,SCOTIA_CRECER,8.06,8,2017
Certificados de Depósito EIF1,SIEMBRA,6.76,8,2017
Certificados de Depósito EIF1,RESERVAS-R3,6.569999999999999,8,2017
Certificados de Depósito EIF1,BANCO_CENTRAL-R3,9.08,8,2017
Certificados de Depósito EIF1,FONDO_DE_SOLIDARIDAD_SOCIAL,6.81,8,2017
Certificados Inversión Especial BCRD2,ATLÁNTICO,10.39,8,2017
Certificados Inversión Especial BCRD2,POPULAR,9.68,8,2017
Certificados Inversión Especial BCRD2,RESERVAS,10.040000000000001,8,2017
